Time,Category,Message
2021-05-19 18:25:24,shoppingcart,"OK: item ""Sauce Labs Bike Light"" is in the shopping cart!"
2021-05-19 18:25:24,shoppingcart,"Checking item 3: ""Sauce Labs Bolt T-Shirt"""
2021-05-19 18:25:24,shoppingcart,"OK: item ""Sauce Labs Bolt T-Shirt"" is in the shopping cart!"
2021-05-19 18:25:24,shoppingcart,"Checking item 4: ""Sauce Labs Fleece Jacket"""
2021-05-19 18:25:24,shoppingcart,"OK: item ""Sauce Labs Fleece Jacket"" is in the shopping cart!"
2021-05-19 18:25:24,shoppingcart,"Checking item 5: ""Sauce Labs Onesie"""
2021-05-19 18:25:24,shoppingcart,"OK: item ""Sauce Labs Onesie"" is in the shopping cart!"
2021-05-19 18:25:24,shoppingcart,"Checking item 6: ""Test.allTheThings() T-Shirt (Red)"""
2021-05-19 18:25:24,shoppingcart,"OK: item ""Test.allTheThings() T-Shirt (Red)"" is in the shopping cart!"
2021-05-19 18:25:24,shoppingcart,=== REMOVE ITEMS ===
2021-05-19 18:25:24,shoppingcart,Removing items from the shopping cart
2021-05-19 18:25:24,shoppingcart,"Removing item 1: ""Sauce Labs Backpack"""
2021-05-19 18:25:24,shoppingcart,"Click on remove button for item ""Sauce Labs Backpack"""
2021-05-19 18:25:24,screenshot,"Screenshot ""04_shopping_cart_page_item_1_removed.png"" successfully created."
2021-05-19 18:25:24,shoppingcart,"Checking that item ""Sauce Labs Backpack"" has really been removed from shopping cart"
2021-05-19 18:25:24,shoppingcart,"OK: item ""Sauce Labs Backpack"" has been removed from shopping cart!"
2021-05-19 18:25:24,shoppingcart,"Removing item 2: ""Sauce Labs Bike Light"""
2021-05-19 18:25:24,shoppingcart,"Click on remove button for item ""Sauce Labs Bike Light"""
2021-05-19 18:25:25,screenshot,"Screenshot ""04_shopping_cart_page_item_2_removed.png"" successfully created."
2021-05-19 18:25:25,shoppingcart,"Checking that item ""Sauce Labs Bike Light"" has really been removed from shopping cart"
2021-05-19 18:25:25,shoppingcart,"OK: item ""Sauce Labs Bike Light"" has been removed from shopping cart!"
2021-05-19 18:25:25,shoppingcart,"Removing item 3: ""Sauce Labs Bolt T-Shirt"""
2021-05-19 18:25:25,shoppingcart,"Click on remove button for item ""Sauce Labs Bolt T-Shirt"""
2021-05-19 18:25:25,screenshot,"Screenshot ""04_shopping_cart_page_item_3_removed.png"" successfully created."
2021-05-19 18:25:25,shoppingcart,"Checking that item ""Sauce Labs Bolt T-Shirt"" has really been removed from shopping cart"
2021-05-19 18:25:25,shoppingcart,"OK: item ""Sauce Labs Bolt T-Shirt"" has been removed from shopping cart!"
2021-05-19 18:25:25,shoppingcart,"Removing item 4: ""Sauce Labs Fleece Jacket"""
2021-05-19 18:25:25,shoppingcart,"Click on remove button for item ""Sauce Labs Fleece Jacket"""
2021-05-19 18:25:25,screenshot,"Screenshot ""04_shopping_cart_page_item_4_removed.png"" successfully created."
2021-05-19 18:25:25,shoppingcart,"Checking that item ""Sauce Labs Fleece Jacket"" has really been removed from shopping cart"
2021-05-19 18:25:25,shoppingcart,"OK: item ""Sauce Labs Fleece Jacket"" has been removed from shopping cart!"
2021-05-19 18:25:25,shoppingcart,"Removing item 5: ""Sauce Labs Onesie"""
2021-05-19 18:25:25,shoppingcart,"Click on remove button for item ""Sauce Labs Onesie"""
2021-05-19 18:25:26,screenshot,"Screenshot ""04_shopping_cart_page_item_5_removed.png"" successfully created."
2021-05-19 18:25:26,shoppingcart,"Checking that item ""Sauce Labs Onesie"" has really been removed from shopping cart"
2021-05-19 18:25:26,shoppingcart,"OK: item ""Sauce Labs Onesie"" has been removed from shopping cart!"
2021-05-19 18:25:26,shoppingcart,"Removing item 6: ""Test.allTheThings() T-Shirt (Red)"""
2021-05-19 18:25:26,shoppingcart,"Click on remove button for item ""Test.allTheThings() T-Shirt (Red)"""
2021-05-19 18:25:26,screenshot,"Screenshot ""04_shopping_cart_page_item_6_removed.png"" successfully created."
2021-05-19 18:25:26,shoppingcart,"Checking that item ""Test.allTheThings() T-Shirt (Red)"" has really been removed from shopping cart"
2021-05-19 18:25:26,shoppingcart,"OK: item ""Test.allTheThings() T-Shirt (Red)"" has been removed from shopping cart!"
2021-05-19 18:25:26,chrome,All UI tests with Selenium finshed successfully!
